CustomerID,Age,Subscription_Length_Months,Watch_Time_Hours,Number_of_Logins,Preferred_Content_Type,Membership_Type,Payment_Method,Payment_Issues,Number_of_Complaints,Resolution_Time_Days,Churn
1,56,35,62.57926639796047,73,TV Shows,Basic,PayPal,0,7,8,0
2,69,15,159.71441533882827,1,Sports,Basic,Credit Card,0,7,21,0
3,46,25,41.11954707674489,36,Movies,Premium,PayPal,0,5,13,1
4,32,28,183.96173538841856,35,Movies,Standard,Credit Card,0,0,27,0
5,60,10,87.78284791329057,66,Movies,Standard,Bank Transfer,0,7,18,0
6,25,17,21.972597704593436,63,Sports,Standard,Credit Card,1,7,5,0
7,38,22,164.07098548333477,23,TV Shows,Standard,PayPal,0,1,6,0
8,56,26,77.83438819248558,9,Documentaries,Basic,Credit Card,0,3,17,0
9,36,25,107.66734285998729,34,Documentaries,Basic,Bank Transfer,1,1,11,0
10,40,17,26.899347160187737,46,Movies,Premium,PayPal,0,3,20,0
11,28,13,5.503882894771565,78,Movies,Standard,Bank Transfer,1,9,16,0
12,28,20,129.40711512969304,4,Sports,Basic,Bank Transfer,0,6,9,0
13,41,25,105.45915821507766,30,TV Shows,Basic,PayPal,0,8,2,0
14,53,4,120.74002097901369,95,Documentaries,Premium,Bank Transfer,0,7,5,0
15,57,10,159.78005082420069,75,Sports,Premium,Bank Transfer,0,8,1,0
16,41,3,131.08815311745772,99,Documentaries,Premium,Credit Card,0,7,4,0
17,20,18,39.08082135133855,72,Movies,Basic,Bank Transfer,0,1,4,0
18,39,22,75.35064122656696,3,Documentaries,Basic,Bank Transfer,0,6,22,1
19,19,34,181.64876543361328,14,TV Shows,Premium,Bank Transfer,0,1,26,1
20,41,8,155.1392165490774,60,TV Shows,Standard,Bank Transfer,0,1,25,0
21,61,19,113.54422629765986,77,Movies,Premium,PayPal,0,3,3,0
22,47,6,54.8507745728081,45,TV Shows,Premium,Credit Card,0,0,9,0
23,55,26,63.901797857785034,96,TV Shows,Premium,Bank Transfer,0,4,22,1
24,19,34,147.73182317919873,34,Sports,Premium,Bank Transfer,1,5,23,0
25,38,6,170.9789808662903,45,Documentaries,Basic,PayPal,0,8,12,0
26,50,33,135.92781055846982,61,Movies,Standard,Bank Transfer,1,9,10,0
27,29,22,162.85834527484616,83,Movies,Premium,PayPal,0,7,2,0
28,39,21,154.49794636407916,16,Movies,Standard,Credit Card,0,1,11,0
29,61,6,34.192273751606756,66,Movies,Standard,Credit Card,0,0,10,0
30,42,6,87.66923851809389,40,Movies,Standard,Bank Transfer,0,1,22,0
31,66,4,34.83184116156972,17,TV Shows,Premium,Bank Transfer,0,6,6,0
32,44,30,50.870939036387036,34,Sports,Basic,Bank Transfer,0,3,18,1
33,59,11,174.50562680695523,16,Movies,Premium,PayPal,0,9,2,0
34,45,30,97.21393329847052,60,Sports,Standard,Bank Transfer,0,4,2,0
35,33,31,109.39482985931886,66,Sports,Standard,Bank Transfer,0,6,10,0
36,32,24,39.79696321941557,66,TV Shows,Basic,Credit Card,0,2,16,0
37,64,9,65.89299827951523,90,Movies,Premium,Bank Transfer,0,9,12,0
38,68,3,49.89800284343464,13,TV Shows,Standard,Credit Card,0,1,1,0
39,61,31,45.20630208109315,56,Movies,Basic,Bank Transfer,0,6,21,0
40,69,24,129.40235469661417,31,TV Shows,Standard,Credit Card,0,4,8,0
41,20,31,55.09235029091439,34,Sports,Basic,Bank Transfer,0,0,16,0
42,54,6,128.2430197739816,39,Movies,Basic,Credit Card,0,0,18,0
43,68,2,16.398649751168012,67,Documentaries,Premium,PayPal,0,8,13,0
44,24,20,32.64600673778486,8,Sports,Standard,Credit Card,0,4,15,0
45,38,28,58.53534953002445,87,Documentaries,Premium,Credit Card,0,0,21,0
46,26,11,121.42414879465987,78,Sports,Standard,Credit Card,0,6,12,0
47,56,4,136.78904279203832,55,TV Shows,Premium,Bank Transfer,1,8,8,0
48,35,15,91.32980852200778,27,Movies,Standard,Bank Transfer,1,0,10,0
49,21,6,91.92922834255965,93,Sports,Premium,Bank Transfer,0,9,14,0
50,42,30,146.28078602273052,53,TV Shows,Basic,PayPal,0,3,5,0
51,31,2,8.085112894288576,39,Movies,Standard,PayPal,0,2,18,0
52,67,15,71.51255477247301,65,Movies,Standard,Credit Card,0,4,19,1
53,26,11,164.64787613825038,17,Sports,Basic,PayPal,0,6,15,0
54,43,8,122.62778499160758,30,Movies,Premium,Credit Card,0,7,6,0
55,19,26,70.75929088730697,53,Sports,Standard,Credit Card,1,1,27,0
56,37,5,181.5773345042864,13,Movies,Standard,Credit Card,0,6,11,0
57,45,6,155.6614318526296,21,Documentaries,Premium,PayPal,0,0,21,0
58,64,26,56.65461221116302,19,TV Shows,Basic,Bank Transfer,0,6,11,0
59,24,4,130.8315183175148,53,Documentaries,Premium,PayPal,0,7,20,0
60,61,19,121.17139199684655,19,Sports,Premium,Credit Card,0,1,20,0
61,25,20,83.23164323760162,57,Documentaries,Premium,Credit Card,1,8,21,0
62,64,33,76.55643544493613,25,Sports,Standard,PayPal,0,0,18,0
63,52,20,71.99429258126227,86,Movies,Basic,Credit Card,0,5,25,0
64,31,12,125.34537776215113,31,Movies,Basic,Credit Card,0,0,18,0
65,34,1,91.26993761373055,81,Sports,Premium,PayPal,0,2,10,1
66,53,26,167.2133070840273,55,Documentaries,Standard,PayPal,0,5,2,0
67,67,14,135.57251014612257,23,Movies,Premium,PayPal,0,2,26,0
68,57,11,18.636663113339655,32,TV Shows,Standard,Credit Card,0,7,9,0
69,21,13,129.83280364649238,62,Movies,Standard,Credit Card,0,4,14,0
70,19,3,57.873750117536034,74,TV Shows,Standard,Bank Transfer,0,1,19,1
71,23,33,120.59833837241743,10,Documentaries,Standard,Bank Transfer,0,3,10,1
72,59,6,137.625726565173,72,TV Shows,Basic,PayPal,0,8,23,0
73,21,10,50.011691885032356,54,TV Shows,Standard,Bank Transfer,0,3,4,1
74,46,5,94.08743575167189,52,TV Shows,Standard,Credit Card,0,9,29,0
75,35,23,42.11334824971822,20,TV Shows,Premium,Bank Transfer,0,9,29,0
76,43,10,15.20608077836912,32,Movies,Premium,Credit Card,0,7,6,1
77,61,2,78.80290257974447,14,TV Shows,Basic,PayPal,0,4,14,1
78,51,13,75.77413300996844,50,Movies,Premium,PayPal,0,9,4,0
79,27,2,199.11869568733013,28,TV Shows,Standard,Credit Card,0,0,26,1
80,53,20,92.03870848354022,53,Sports,Premium,Bank Transfer,0,6,15,1
81,31,1,70.04606214707908,24,Documentaries,Basic,PayPal,0,2,16,1
82,48,9,118.19262630975155,79,TV Shows,Premium,PayPal,0,9,7,1
83,65,17,22.30964185101485,22,Sports,Premium,Bank Transfer,0,7,17,1
84,32,9,192.52481851118858,30,TV Shows,Basic,Bank Transfer,0,2,19,0
85,25,11,128.81720889025146,63,TV Shows,Basic,Credit Card,0,0,29,1
86,31,15,152.1933748884653,4,TV Shows,Standard,Bank Transfer,0,4,19,0
87,40,24,38.24319794391392,77,Sports,Premium,Bank Transfer,0,1,17,1
88,57,35,84.84818133601476,59,Documentaries,Standard,Bank Transfer,0,3,6,0
89,38,30,87.42437711225696,87,Sports,Premium,Credit Card,0,0,29,0
90,33,31,165.25225656071194,8,Documentaries,Premium,Credit Card,0,8,11,0
91,62,5,5.2411525530848415,82,TV Shows,Standard,PayPal,0,5,16,0
92,35,14,63.666356128884736,12,Movies,Premium,Credit Card,0,7,25,0
93,64,11,196.34109299713927,31,TV Shows,Premium,PayPal,0,3,8,1
94,41,9,97.60287598371264,78,Documentaries,Premium,Bank Transfer,0,8,11,1
95,43,34,79.59262464758162,34,Sports,Basic,PayPal,0,1,7,0
96,42,12,28.366655393441036,82,TV Shows,Standard,PayPal,1,8,26,1
97,62,35,194.96210258246305,98,Sports,Basic,Bank Transfer,1,4,24,1
98,58,35,8.90513940553577,75,Sports,Standard,PayPal,1,5,22,0
99,46,1,148.7501438764124,76,Sports,Standard,Credit Card,0,2,25,0
100,32,22,154.87696193375913,49,TV Shows,Premium,Credit Card,0,3,19,1
101,62,29,52.513059632453995,79,Sports,Standard,Credit Card,0,5,26,0
102,18,8,135.95389650454229,57,Sports,Basic,Credit Card,0,6,10,1
103,42,11,23.121183153981036,95,TV Shows,Basic,PayPal,0,0,9,1
104,24,14,55.12421695425557,93,Sports,Basic,PayPal,0,6,4,1
105,26,30,158.64088771699167,26,TV Shows,Standard,Bank Transfer,0,0,23,0
106,41,35,173.61380744654033,18,Documentaries,Basic,PayPal,0,4,15,0
107,18,21,123.6548504686593,96,Documentaries,Standard,PayPal,0,5,13,0
108,61,5,103.83349420499411,86,Documentaries,Basic,PayPal,1,1,25,0
109,25,19,36.06428402070116,38,Sports,Basic,Bank Transfer,0,9,2,0
110,41,14,17.306261450434285,81,Movies,Standard,Credit Card,0,8,2,0
111,28,26,27.941560552343933,87,Movies,Basic,PayPal,1,9,16,0
112,68,4,49.334673518739265,88,Sports,Premium,Bank Transfer,0,5,9,1
113,34,25,71.62652786989956,50,Movies,Standard,Bank Transfer,0,6,28,0
114,25,25,79.27735747464251,8,TV Shows,Standard,Bank Transfer,0,9,13,0
115,52,18,72.5327448748557,41,Movies,Standard,Credit Card,0,7,3,0
116,52,8,51.61578977846679,6,Sports,Premium,PayPal,1,9,9,0
117,50,14,104.39622811658114,69,Sports,Standard,Bank Transfer,0,0,13,0
118,22,32,165.93079110541487,44,TV Shows,Basic,Credit Card,0,7,21,0
119,59,33,59.54219000193845,64,Documentaries,Basic,Bank Transfer,0,3,22,0
120,56,23,188.76546872493546,29,Sports,Basic,Bank Transfer,0,9,2,0
121,58,15,175.30064903615033,28,TV Shows,Standard,Bank Transfer,1,7,8,0
122,45,33,36.544021213661374,11,Movies,Basic,Bank Transfer,0,5,27,1
123,24,25,158.3238115676334,65,Movies,Standard,Bank Transfer,0,8,9,1
124,26,17,117.04453955196449,19,TV Shows,Basic,Credit Card,0,3,16,1
125,25,33,115.48219562342662,9,TV Shows,Premium,PayPal,0,1,2,1
126,29,2,81.25333879634401,27,Sports,Premium,PayPal,1,1,6,1
127,51,14,102.7248348404919,34,Movies,Premium,PayPal,0,4,22,1
128,50,6,82.44986159869615,44,TV Shows,Premium,PayPal,0,9,8,0
129,65,6,110.24786065818886,68,Movies,Standard,Credit Card,0,8,26,0
130,40,3,127.45026029066399,82,TV Shows,Basic,Credit Card,0,2,28,0
131,41,7,136.48924224976443,15,Movies,Premium,Credit Card,0,7,5,0
132,54,8,108.8338325490881,51,Documentaries,Standard,Bank Transfer,1,3,9,0
133,52,15,145.67730312910268,13,Sports,Premium,Bank Transfer,0,5,1,0
134,61,29,32.54921960872363,83,Movies,Premium,Bank Transfer,1,9,9,1
135,57,33,46.336585725936516,49,Documentaries,Standard,PayPal,0,5,10,1
136,39,30,164.65332579448267,70,Movies,Standard,Bank Transfer,0,2,23,0
137,44,27,67.89295568005096,56,Movies,Basic,PayPal,0,4,4,0
138,52,29,9.464295870343449,76,Documentaries,Basic,Bank Transfer,0,2,3,1
139,18,33,34.98927418526606,51,Movies,Premium,PayPal,1,0,10,0
140,52,27,48.604814726780695,37,Movies,Premium,Bank Transfer,0,6,15,1
141,54,33,191.6779631394445,17,Sports,Basic,Bank Transfer,0,3,11,0
142,64,4,116.74307864151561,58,Documentaries,Basic,Credit Card,0,6,14,0
143,31,22,186.8824943928697,87,Documentaries,Standard,Bank Transfer,0,2,6,0
144,20,2,117.15685334684186,90,TV Shows,Basic,Bank Transfer,0,4,12,1
145,18,10,98.4741158268811,29,Movies,Basic,Credit Card,0,4,13,0
146,22,5,66.17689978284872,33,Sports,Premium,PayPal,0,1,17,0
147,43,10,123.24233416450824,60,Movies,Basic,Credit Card,0,9,16,0
148,31,33,32.14361480041832,91,Movies,Premium,Credit Card,0,1,3,0
149,56,13,180.16101732207767,89,TV Shows,Basic,PayPal,0,3,2,1
150,44,31,166.7198190025503,55,Movies,Standard,Bank Transfer,0,3,11,1
151,26,24,66.91863233596372,10,Sports,Basic,PayPal,0,3,29,0
152,32,15,190.7955178822524,47,Sports,Basic,Bank Transfer,1,5,9,0
153,32,29,165.91414964603578,23,TV Shows,Basic,Bank Transfer,0,1,3,0
154,43,8,134.92984273783276,85,Movies,Premium,PayPal,0,5,29,0
155,59,5,28.743572669428584,21,Sports,Standard,Credit Card,0,6,18,1
156,30,29,98.25563449437409,13,Movies,Basic,PayPal,0,9,20,0
157,68,4,103.69097319511641,33,Movies,Premium,Bank Transfer,0,2,15,0
158,49,12,50.34751488124912,24,Movies,Standard,PayPal,0,7,14,0
159,56,2,20.59325190006388,11,TV Shows,Premium,PayPal,0,1,2,1
160,66,27,156.46110794198006,17,Movies,Premium,Bank Transfer,0,7,17,1
161,69,31,28.79683516425703,68,Sports,Standard,Credit Card,0,4,22,1
162,49,26,120.88669635954606,47,Movies,Basic,PayPal,0,1,26,0
163,21,27,187.6075889073138,25,Sports,Premium,Bank Transfer,1,6,8,0
164,47,5,175.8405125566183,94,Movies,Premium,Bank Transfer,0,1,10,1
165,54,20,59.16176163110592,73,Sports,Basic,PayPal,0,5,26,0
166,40,11,171.03248432249674,21,Sports,Basic,Credit Card,1,9,18,0
167,56,10,5.064838693495434,84,Movies,Standard,PayPal,0,2,25,0
168,62,6,8.449122874585157,83,Movies,Standard,Credit Card,0,8,29,1
169,32,8,122.49786694935867,83,Sports,Standard,Credit Card,0,2,19,0
170,60,23,76.13565273318325,12,Documentaries,Basic,Credit Card,1,2,8,0
171,46,26,80.35986402603369,37,TV Shows,Premium,Credit Card,0,4,28,0
172,53,12,115.06601268238208,42,Documentaries,Premium,PayPal,1,6,8,0
173,30,26,42.39757884041281,17,Documentaries,Standard,Bank Transfer,0,7,3,0
174,49,13,46.292293379768275,48,Movies,Basic,Bank Transfer,0,6,3,1
175,24,18,99.49730946867861,28,TV Shows,Premium,Bank Transfer,1,8,12,1
176,68,25,152.0794411470533,41,Documentaries,Standard,Bank Transfer,0,4,22,0
177,39,33,125.8020615244796,99,Movies,Premium,Bank Transfer,0,9,17,1
178,45,12,62.98423440618358,47,Documentaries,Premium,Bank Transfer,0,2,4,1
179,19,4,88.91574961423963,18,Documentaries,Basic,PayPal,0,5,17,0
180,59,5,38.27962791724969,78,Movies,Basic,Credit Card,1,4,14,0
181,62,8,19.552813795730934,99,Movies,Premium,Bank Transfer,0,3,19,1
182,23,28,157.6257279451091,71,Movies,Standard,PayPal,0,1,9,0
183,45,31,56.75054479169795,13,TV Shows,Basic,Bank Transfer,0,6,21,0
184,45,9,39.6644456309934,82,Documentaries,Premium,Bank Transfer,0,4,12,1
185,61,29,139.86552083601728,13,Movies,Basic,Credit Card,0,3,5,0
186,61,14,125.52007648600127,31,Sports,Basic,Credit Card,0,7,11,0
187,37,22,128.4719770726255,2,Documentaries,Basic,Credit Card,0,8,20,0
188,47,11,49.634447945089654,16,Sports,Premium,Bank Transfer,1,8,3,0
189,28,23,50.365880019722795,9,TV Shows,Standard,Bank Transfer,0,2,21,1
190,45,1,48.056512808199635,73,Movies,Standard,Bank Transfer,0,2,15,0
191,42,21,38.88175615414743,38,Sports,Standard,Credit Card,1,4,14,0
192,56,26,132.86611614952298,75,TV Shows,Basic,PayPal,0,4,11,0
193,50,23,170.36309762363328,54,Movies,Premium,Bank Transfer,0,9,20,0
194,18,1,146.24190658694894,56,Sports,Basic,Bank Transfer,0,1,8,0
195,44,15,159.45825858330593,86,Sports,Standard,Bank Transfer,1,0,4,0
196,69,21,83.93569367161396,97,TV Shows,Standard,PayPal,0,7,27,1
197,30,9,132.54478009753961,87,Movies,Premium,Bank Transfer,1,2,12,0
198,58,9,74.07606688673103,45,Movies,Basic,PayPal,0,0,8,0
199,20,10,107.4734012838848,34,Sports,Standard,Bank Transfer,0,0,6,0
200,56,26,98.91879507429816,9,Sports,Premium,PayPal,0,1,15,0
201,23,35,39.492993303051605,88,Sports,Basic,Bank Transfer,0,5,12,0
202,25,25,80.480358265448,8,Movies,Basic,Credit Card,0,5,16,0
203,44,26,192.94534371905846,7,TV Shows,Standard,Credit Card,0,2,16,1
204,26,11,53.4731502544137,36,TV Shows,Standard,Credit Card,0,3,27,0
205,54,2,31.0917285745003,18,Movies,Basic,Credit Card,0,1,21,0
206,50,7,86.62322121666737,3,Documentaries,Basic,Bank Transfer,0,1,20,0
207,68,18,159.11585849272888,28,TV Shows,Standard,Credit Card,0,6,20,1
208,59,27,118.51890480709459,70,Sports,Basic,PayPal,0,0,28,0
209,61,34,137.79009131145767,44,Documentaries,Standard,Credit Card,0,6,4,0
210,41,27,41.99049539406205,21,Documentaries,Basic,Credit Card,0,0,11,0
211,32,17,125.6948976365057,28,TV Shows,Standard,Credit Card,0,5,13,0
212,49,24,68.08257700773738,54,Documentaries,Premium,Bank Transfer,0,2,29,0
213,49,25,167.68915636117967,54,Documentaries,Standard,Credit Card,0,7,9,1
214,41,7,127.71326717209355,65,TV Shows,Standard,PayPal,1,5,4,0
215,58,6,43.776974166182704,21,TV Shows,Premium,Credit Card,0,1,12,0
216,69,24,17.600252569596798,99,Documentaries,Basic,Credit Card,0,7,9,0
217,66,33,13.313475810971383,13,Sports,Premium,Credit Card,0,4,13,0
218,66,29,77.42467069177745,57,Movies,Standard,PayPal,0,7,16,0
219,69,22,56.840971647591125,49,Documentaries,Basic,Credit Card,0,7,26,0
220,29,26,130.98757407518906,54,Documentaries,Premium,PayPal,0,5,6,0
221,56,28,102.37009782083057,10,Sports,Basic,PayPal,0,1,10,0
222,19,21,56.87375921104924,53,Documentaries,Basic,Credit Card,0,7,13,0
223,20,7,34.101366700284345,44,Documentaries,Premium,PayPal,0,5,7,0
224,66,17,29.803953724052672,47,Movies,Basic,Bank Transfer,0,5,28,1
225,54,20,173.60877646738146,53,Movies,Premium,Credit Card,0,7,26,0
226,66,20,52.47820383894911,74,Movies,Standard,Credit Card,0,0,19,0
227,34,22,132.08357634263882,46,TV Shows,Basic,PayPal,1,1,24,1
228,66,28,163.08375595732193,13,TV Shows,Standard,PayPal,0,8,19,0
229,19,7,124.74585568102354,37,Movies,Standard,Credit Card,0,7,17,1
230,19,1,172.61522017115442,24,Movies,Basic,Bank Transfer,1,6,13,1
231,45,32,81.51677569805253,2,TV Shows,Premium,PayPal,0,6,13,1
232,40,13,191.4633271765449,86,Sports,Basic,PayPal,0,4,26,1
233,54,30,30.963275814728902,81,Documentaries,Standard,Bank Transfer,0,1,28,0
234,49,23,24.91915828321993,14,Documentaries,Standard,Bank Transfer,1,5,21,0
235,50,19,133.4449685104515,10,Movies,Premium,Credit Card,0,9,2,0
236,18,32,188.85207257558605,35,Sports,Basic,Bank Transfer,0,2,10,0
237,36,30,162.73227501908397,25,TV Shows,Standard,Credit Card,0,3,22,0
238,19,29,19.90128759042003,3,Movies,Standard,Bank Transfer,1,9,13,1
239,61,29,59.47670421726969,17,Sports,Standard,PayPal,0,1,26,0
240,43,30,186.41218254337562,12,Sports,Premium,Credit Card,0,1,9,1
241,49,16,54.34639439615299,54,Sports,Standard,Credit Card,1,7,1,1
242,23,19,157.32823263844926,24,TV Shows,Standard,Credit Card,0,7,14,1
243,49,18,165.90077820609724,29,TV Shows,Basic,Bank Transfer,0,9,29,1
244,21,1,101.61316017489145,43,Documentaries,Basic,PayPal,0,5,16,1
245,28,14,80.33803742042151,25,Documentaries,Standard,Credit Card,0,4,20,1
246,34,2,92.77426432185312,60,Sports,Standard,Credit Card,1,7,15,0
247,55,28,49.25811540124601,90,Sports,Basic,Credit Card,0,3,1,0
248,41,30,178.43122864512463,65,TV Shows,Premium,Credit Card,0,3,17,1
249,22,4,92.8708330623028,84,Documentaries,Premium,PayPal,0,4,24,1
250,69,1,177.07959088893946,28,Sports,Premium,Bank Transfer,0,0,13,0
251,51,8,25.610228581723447,16,Documentaries,Premium,PayPal,1,0,27,0
252,23,29,197.71367784502561,47,Documentaries,Premium,Credit Card,0,1,15,0
253,39,3,91.43825205150556,81,Sports,Premium,PayPal,0,7,16,0
254,28,32,14.327009976850565,92,TV Shows,Premium,Credit Card,0,6,16,1
255,65,10,12.414260406303708,58,Sports,Premium,Bank Transfer,1,9,2,1
256,33,10,150.51041520895853,76,Sports,Basic,Bank Transfer,0,8,17,0
257,50,19,133.51192916971775,27,Documentaries,Premium,Bank Transfer,0,4,11,0
258,26,34,161.41545883487956,53,Sports,Premium,Credit Card,0,1,8,0
259,23,33,25.546669120797162,42,TV Shows,Premium,PayPal,0,6,20,0
260,33,23,11.936319071931928,59,Sports,Standard,Bank Transfer,0,7,3,0
261,46,28,104.1729614422778,47,TV Shows,Basic,Credit Card,0,6,29,0
262,20,32,80.58107013914005,94,TV Shows,Basic,Credit Card,0,6,12,0
263,37,7,95.07965265083638,34,Documentaries,Basic,PayPal,0,4,20,0
264,53,29,198.35973972970342,37,Movies,Premium,Bank Transfer,0,1,16,0
265,36,8,194.2962417457807,6,Movies,Premium,Credit Card,1,5,14,0
266,43,1,188.75150098627262,7,Documentaries,Standard,PayPal,0,3,16,0
267,20,3,157.8493219696964,96,Sports,Basic,Bank Transfer,1,9,27,0
268,36,24,74.19406525009363,96,Documentaries,Premium,PayPal,0,1,21,0
269,37,23,85.36553140124046,25,TV Shows,Basic,PayPal,0,8,17,1
270,49,8,112.17512852519027,33,Movies,Standard,Credit Card,1,6,11,1
271,24,3,166.9542189989438,55,Documentaries,Standard,Credit Card,0,5,17,1
272,69,33,18.399002341062214,58,Sports,Standard,Credit Card,0,4,19,1
273,58,28,87.73789274755319,7,Documentaries,Basic,PayPal,1,2,22,0
274,50,8,21.110444374557392,57,Movies,Premium,Credit Card,0,9,1,0
275,57,34,105.35822938183476,12,Documentaries,Premium,PayPal,0,9,27,0
276,56,35,180.2856606812159,16,Documentaries,Standard,PayPal,0,3,12,1
277,35,32,157.5845602899679,80,Movies,Premium,Credit Card,0,2,15,1
278,57,24,49.429271420906446,43,TV Shows,Standard,Bank Transfer,0,7,18,0
279,18,14,195.31821567176453,77,TV Shows,Basic,Bank Transfer,0,2,28,0
280,28,32,135.13332761905355,7,Movies,Standard,Bank Transfer,0,6,23,0
281,45,16,7.033401382493598,51,Documentaries,Basic,PayPal,0,6,14,1
282,42,4,54.8056295136178,73,Movies,Standard,PayPal,0,6,1,0
283,67,21,55.839093484383724,32,TV Shows,Premium,PayPal,0,6,13,0
284,40,14,18.504589725742687,75,Sports,Premium,Credit Card,0,1,15,0
285,48,31,192.16617102480615,8,Documentaries,Standard,PayPal,0,9,7,0
286,47,18,98.25978244230514,97,TV Shows,Premium,Credit Card,0,2,15,1
287,59,7,179.68384648751697,87,Documentaries,Premium,Credit Card,0,9,20,0
288,52,10,67.83202317170253,89,Movies,Premium,Bank Transfer,0,8,10,1
289,24,7,29.42054623440129,72,Sports,Basic,Bank Transfer,0,2,14,0
290,33,33,97.49554143171171,45,Movies,Premium,Bank Transfer,1,1,6,1
291,43,23,27.221543769291845,86,Sports,Basic,Credit Card,0,8,14,1
292,65,21,99.77302308062029,59,Documentaries,Standard,Credit Card,0,9,24,0
293,69,19,184.4579503377845,4,Documentaries,Premium,Credit Card,0,8,25,0
294,66,19,106.54978765767147,67,Movies,Premium,PayPal,0,3,22,0
295,19,29,125.21744674454128,29,Sports,Premium,Credit Card,1,8,12,0
296,18,18,35.54449520989262,29,Sports,Standard,Bank Transfer,1,2,11,1
297,65,2,13.52844704659405,98,Documentaries,Basic,Bank Transfer,0,6,29,0
298,29,1,26.60755262506237,98,Movies,Basic,Credit Card,0,6,25,1
299,22,5,121.7136572584513,28,Sports,Premium,Credit Card,1,7,20,0
300,54,20,23.527281303499407,77,Documentaries,Standard,Bank Transfer,1,9,22,0
301,49,11,78.31861353855572,79,TV Shows,Standard,Credit Card,0,3,24,0
302,26,2,112.26792838934043,87,Movies,Standard,Bank Transfer,0,2,25,0
303,58,3,80.78729573282017,44,TV Shows,Standard,PayPal,0,2,19,0
304,52,23,36.91834128573379,90,Movies,Standard,Bank Transfer,1,4,2,1
305,36,12,58.38930496525077,4,Documentaries,Basic,PayPal,0,0,22,0
306,65,20,186.02191890547252,90,Sports,Basic,Credit Card,0,9,20,1
307,33,5,136.8165437393393,9,Sports,Basic,Credit Card,0,2,1,0
308,20,30,101.72932854257787,5,Sports,Premium,PayPal,0,5,8,0
309,37,9,7.479403547444236,56,Movies,Standard,Credit Card,0,2,25,1
310,41,34,198.52100309544667,96,Documentaries,Premium,PayPal,1,4,14,1
311,50,35,135.93371230445544,84,TV Shows,Standard,Credit Card,0,8,9,0
312,41,22,66.79988308226427,50,Documentaries,Basic,Bank Transfer,0,1,2,1
313,69,24,176.45738869957844,75,TV Shows,Premium,Credit Card,0,1,25,0
314,28,17,55.39416595690453,15,Movies,Basic,Bank Transfer,0,5,23,0
315,66,10,111.08323294063656,32,Movies,Standard,Bank Transfer,0,5,5,0
316,25,30,129.0337989273159,28,TV Shows,Standard,PayPal,0,7,23,1
317,53,23,48.10735743347705,22,TV Shows,Standard,Credit Card,0,1,29,0
318,55,32,195.7874693661162,17,TV Shows,Basic,PayPal,0,8,25,0
319,57,17,150.89742166590452,59,Documentaries,Standard,Credit Card,0,1,8,0
320,37,17,113.77357897465863,90,TV Shows,Basic,Bank Transfer,0,0,16,0
321,52,14,40.215946644183674,71,Movies,Premium,Bank Transfer,1,9,22,0
322,65,9,15.502350364615095,57,Movies,Standard,Credit Card,1,1,16,0
323,42,2,67.41166734159177,26,Sports,Standard,Credit Card,0,6,13,0
324,52,25,151.87153050311355,25,TV Shows,Standard,PayPal,0,7,20,0
325,42,9,57.51960316889489,10,Documentaries,Premium,Credit Card,1,4,29,0
326,46,22,110.21346299662349,45,Documentaries,Standard,Credit Card,0,5,15,0
327,35,4,146.94969946249492,83,Documentaries,Basic,Credit Card,0,0,1,0
328,63,26,26.04902435606055,11,Sports,Basic,PayPal,1,5,22,0
329,35,29,138.6331131425953,77,Movies,Standard,Credit Card,0,7,3,1
330,19,34,22.914823103458716,53,Documentaries,Standard,Bank Transfer,0,2,6,0
331,52,23,193.20029971476433,72,Movies,Premium,PayPal,1,0,22,0
332,33,11,100.23685536266322,68,Sports,Premium,PayPal,0,3,14,0
